nucleus, energy[keV], readout, sigma_E/E=  fluorine 29 str 0.2531495116952731
nucleus, energy[keV], readout, sigma_E/E=  fluorine 31 str 0.2606534326795758
nucleus, energy[keV], readout, sigma_E/E=  fluorine 33 str 0.24581840079304695
nucleus, energy[keV], readout, sigma_E/E=  fluorine 35 str 0.22045873736765695
nucleus, energy[keV], readout, sigma_E/E=  fluorine 37 str 0.22602529711690206
nucleus, energy[keV], readout, sigma_E/E=  fluorine 39 str 0.21801760025931566
nucleus, energy[keV], readout, sigma_E/E=  fluorine 41 str 0.20225157342858952
nucleus, energy[keV], readout, sigma_E/E=  fluorine 43 str 0.19231804947513187
nucleus, energy[keV], readout, sigma_E/E=  fluorine 45 str 0.20013552153674832
nucleus, energy[keV], readout, sigma_E/E=  fluorine 47 str 0.19238583401260126
nucleus, energy[keV], readout, sigma_E/E=  fluorine 49 str 0.18159393840299323
nucleus, energy[keV], readout, sigma_E/E=  fluorine 1 opt 2.5564453959127964
nucleus, energy[keV], readout, sigma_E/E=  fluorine 3 opt 2.628711888487338
nucleus, energy[keV], readout, sigma_E/E=  fluorine 5 opt 2.248381481148427
nucleus, energy[keV], readout, sigma_E/E=  fluorine 7 opt 2.964758071357877
nucleus, energy[keV], readout, sigma_E/E=  fluorine 9 opt 3.4612530884958064
nucleus, energy[keV], readout, sigma_E/E=  fluorine 11 opt 3.3796915810851647
nucleus, energy[keV], readout, sigma_E/E=  fluorine 13 opt 2.980685539449798
nucleus, energy[keV], readout, sigma_E/E=  fluorine 15 opt 3.0366626222856854
nucleus, energy[keV], readout, sigma_E/E=  fluorine 17 opt 2.6002795525528004
nucleus, energy[keV], readout, sigma_E/E=  fluorine 19 opt 2.7168502263651
nucleus, energy[keV], readout, sigma_E/E=  fluorine 21 opt 2.4166647001466735
nucleus, energy[keV], readout, sigma_E/E=  fluorine 23 opt 2.413363248041591
nucleus, energy[keV], readout, sigma_E/E=  fluorine 25 opt 2.2576759265615207
nucleus, energy[keV], readout, sigma_E/E=  fluorine 27 opt 2.106306622196673
nucleus, energy[keV], readout, sigma_E/E=  fluorine 29 opt 2.0466115593599405
nucleus, energy[keV], readout, sigma_E/E=  fluorine 31 opt 1.9527566866728485
nucleus, energy[keV], readout, sigma_E/E=  fluorine 33 opt 1.8504875734243178
nucleus, energy[keV], readout, sigma_E/E=  fluorine 35 opt 1.7977208426727067
nucleus, energy[keV], readout, sigma_E/E=  fluorine 37 opt 1.624069736163359
nucleus, energy[keV], readout, sigma_E/E=  fluorine 39 opt 1.6977364175438077
nucleus, energy[keV], readout, sigma_E/E=  fluorine 41 opt 1.5432280655672517
nucleus, energy[keV], readout, sigma_E/E=  fluorine 43 opt 1.4279785957445266
nucleus, energy[keV], readout, sigma_E/E=  fluorine 45 opt 1.4826768445617315
nucleus, energy[keV], readout, sigma_E/E=  fluorine 47 opt 1.5089494861443835
nucleus, energy[keV], readout, sigma_E/E=  fluorine 49 opt 1.3604408574776456
