nucleus, energy[keV], readout, event detection eff. =  fluorine 13 gem 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  fluorine 15 gem 0.9959999918937683
nucleus, energy[keV], readout, event detection eff. =  fluorine 17 gem 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 19 gem 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 21 gem 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 23 gem 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  fluorine 25 gem 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  fluorine 27 gem 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 29 gem 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 31 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 33 gem 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 35 gem 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  fluorine 37 gem 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 39 gem 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 41 gem 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 43 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 45 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 47 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 49 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 1 str 0.012000000104308128
nucleus, energy[keV], readout, event detection eff. =  fluorine 3 str 0.6700000166893005
nucleus, energy[keV], readout, event detection eff. =  fluorine 5 str 0.968000054359436
nucleus, energy[keV], readout, event detection eff. =  fluorine 7 str 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 9 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 11 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 13 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 15 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 17 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 19 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 21 str 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 23 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 25 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 27 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 29 str 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 31 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 33 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 35 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 37 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 39 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 41 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 43 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 45 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 47 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 49 str 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 1 opt 0.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 3 opt 0.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 5 opt 0.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 7 opt 0.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 9 opt 0.012000000104308128
nucleus, energy[keV], readout, event detection eff. =  fluorine 11 opt 0.0279999990016222
nucleus, energy[keV], readout, event detection eff. =  fluorine 13 opt 0.05999999865889549
nucleus, energy[keV], readout, event detection eff. =  fluorine 15 opt 0.06599999964237213
nucleus, energy[keV], readout, event detection eff. =  fluorine 17 opt 0.11399999260902405
nucleus, energy[keV], readout, event detection eff. =  fluorine 19 opt 0.14000000059604645
nucleus, energy[keV], readout, event detection eff. =  fluorine 21 opt 0.1850000023841858
nucleus, energy[keV], readout, event detection eff. =  fluorine 23 opt 0.2370000034570694
nucleus, energy[keV], readout, event detection eff. =  fluorine 25 opt 0.30300000309944153
nucleus, energy[keV], readout, event detection eff. =  fluorine 27 opt 0.3400000035762787
nucleus, energy[keV], readout, event detection eff. =  fluorine 29 opt 0.3879999816417694
nucleus, energy[keV], readout, event detection eff. =  fluorine 31 opt 0.41099998354911804
nucleus, energy[keV], readout, event detection eff. =  fluorine 33 opt 0.47099998593330383
nucleus, energy[keV], readout, event detection eff. =  fluorine 35 opt 0.5490000247955322
nucleus, energy[keV], readout, event detection eff. =  fluorine 37 opt 0.6159999966621399
nucleus, energy[keV], readout, event detection eff. =  fluorine 39 opt 0.6519999504089355
nucleus, energy[keV], readout, event detection eff. =  fluorine 41 opt 0.7319999933242798
nucleus, energy[keV], readout, event detection eff. =  fluorine 43 opt 0.8109999895095825
nucleus, energy[keV], readout, event detection eff. =  fluorine 45 opt 0.796999990940094
nucleus, energy[keV], readout, event detection eff. =  fluorine 47 opt 0.8330000042915344
nucleus, energy[keV], readout, event detection eff. =  fluorine 49 opt 0.9300000071525574
