nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 opt_after_threshold 58.1392905375631 0.5639344262295082
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 str_after_threshold 41.064885555561055 0.534
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 pix_after_threshold 28.51616804719433 0.604
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 3d_noquant_after_drift 28.257686929505116 0.611
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 3d_noquant_before_drift 24.34213790455074 0.95
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 gem_after_threshold 57.10680250354299 0.499
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 wir_after_threshold 53.207190465676256 0.512
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 pad_after_threshold 50.83372812370353 0.525
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 opt_after_threshold 58.31140238282918 0.5241157556270096
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 str_after_threshold 41.631609323194446 0.545
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 pix_after_threshold 28.645417165208716 0.593
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 3d_noquant_after_drift 28.49803163893433 0.616
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 17 3d_noquant_before_drift 22.65747894051605 0.751
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 gem_after_threshold 57.15867160265269 0.517
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 wir_after_threshold 52.00617200604605 0.496
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 pad_after_threshold 48.34335120761594 0.505
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 opt_after_threshold 56.239914150060876 0.46944444444444444
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 str_after_threshold 36.61604640197028 0.588
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 pix_after_threshold 23.915472098301745 0.657
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 3d_noquant_after_drift 23.765409365547168 0.69
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 18 3d_noquant_before_drift 20.747688956814972 1.0
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 gem_after_threshold 58.042123113056604 0.5
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 wir_after_threshold 51.03858953937533 0.512
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 pad_after_threshold 49.04265007386973 0.507
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 opt_after_threshold 56.58602348351248 0.4659090909090909
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 str_after_threshold 35.019399493768994 0.58
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 pix_after_threshold 22.642860894365036 0.628
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 3d_noquant_after_drift 22.373739539106825 0.656
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 19 3d_noquant_before_drift 20.75641134301559 0.9
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 gem_after_threshold 57.71856464689905 0.5305305305305306
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 wir_after_threshold 51.20570227190346 0.55
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 pad_after_threshold 47.817310167427394 0.467
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 opt_after_threshold 57.7565630728705 0.4742990654205608
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 str_after_threshold 35.02068433578045 0.561
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 pix_after_threshold 19.893680719770487 0.62
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 3d_noquant_after_drift 19.63892272478939 0.655
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 20 3d_noquant_before_drift 16.940084853596193 0.85
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 gem_after_threshold 58.292793962987666 0.504
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 wir_after_threshold 50.292501392476375 0.541
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 pad_after_threshold 46.76882336379543 0.52
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 opt_after_threshold 56.94704005742085 0.49230769230769234
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 str_after_threshold 33.635666115196116 0.575
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 pix_after_threshold 21.216557855878172 0.592
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 3d_noquant_after_drift 20.964643452134514 0.611
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 21 3d_noquant_before_drift 18.999460583748252 0.85
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 gem_after_threshold 58.27699694199107 0.4984984984984985
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 wir_after_threshold 57.19367645735055 0.5265265265265265
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 pad_after_threshold 57.05938155259015 0.4894894894894895
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 opt_after_threshold 56.09393282588901 0.4436229205175601
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 str_after_threshold 55.8652837332806 0.4904904904904905
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 pix_after_threshold 54.631093755634325 0.5005005005005005
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 3d_noquant_after_drift 19.723007926495985 0.645
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 22 3d_noquant_before_drift 17.781568126372687 0.946
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 gem_after_threshold 56.71241169710013 0.491
